SampleTime	MeasurementTime	CPM	TC
	12:56:29	0	0
12:39:58	13:03:28	10678	42710
12:50:07	13:08:20	21786	87142
12:59:33	13:19:24	28620	114480
13:09:46	13:24:29	36763	147050
13:19:46	13:30:30	40041	160162
13:29:54	13:44:11	43738	174951
13:40:01	13:50:20	48263	193052
13:49:52	14:03:38	49874	199496
13:59:38	14:16:08	49064	196257
14:07:26	14:28:23	45346	181383
