SampleTime	MeasurementTime	CPM	TC
	11:08:20	11	34
11:03:05	11:19:42	10021	30063
11:13:33	11:29:54	15556	46667
11:23:40	11:38:45	18764	56292
11:32:39	11:52:04	18481	55444
11:42:03	11:58:54	16943	50829
11:52:40	12:09:01	13682	41045
12:01:52	12:17:59	13823	41468
12:12:20	12:36:14	12109	36327
12:23:21	12:41:10	11104	33312
